#Sequence ID	name	method	country	date	latlon	latitude	longitude	locality	lat_lon
Unknown|00000000|Unknown|2509	SRA Sample SRR1805011 552	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2407	SRA Sample SRR1805011 450	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3013	SRA Sample SRR1803358 348	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2471	SRA Sample SRR1805011 514	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|125	SRA Sample SRR4408002 109	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1345	SRA Sample SRR3160439 930	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3024	SRA Sample SRR1803358 359	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|774	SRA Sample SRR3160439 359	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2207	SRA Sample SRR1805011 250	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2141	SRA Sample SRR1805011 184	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2371	SRA Sample SRR1805011 414	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2270	SRA Sample SRR1805011 313	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2126	SRA Sample SRR1805011 169	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|640	SRA Sample SRR3160439 225	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|988	SRA Sample SRR3160439 573	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|107	SRA Sample SRR3160438 107	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|1205	SRA Sample SRR3160439 790	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2860	SRA Sample SRR1803358 195	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|992	SRA Sample SRR3160439 577	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1757	SRA Sample SRR1804611 4	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|123	SRA Sample SRR3160438 123	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|328	SRA Sample SRR4408002 312	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2236	SRA Sample SRR1805011 279	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|924	SRA Sample SRR3160439 509	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1125	SRA Sample SRR3160439 710	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3009	SRA Sample SRR1803358 344	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2999	SRA Sample SRR1803358 334	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2995	SRA Sample SRR1803358 330	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|5	SRA Sample SRR1554402 5	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|2737	SRA Sample SRR1803358 72	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2127	SRA Sample SRR1805011 170	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2767	SRA Sample SRR1803358 102	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2114	SRA Sample SRR1805011 157	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1480	SRA Sample SRR3160439 1065	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1674	SRA Sample SRR3160439 1259	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|153	SRA Sample SRR3160438 153	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|3016	SRA Sample SRR1803358 351	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|771	SRA Sample SRR3160439 356	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|934	SRA Sample SRR3160439 519	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2990	SRA Sample SRR1803358 325	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|442	SRA Sample SRR3160439 27	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1759	SRA Sample SRR1804611 6	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1470	SRA Sample SRR3160439 1055	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|544	SRA Sample SRR3160439 129	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2132	SRA Sample SRR1805011 175	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|894	SRA Sample SRR3160439 479	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1331	SRA Sample SRR3160439 916	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2561	SRA Sample SRR1805011 604	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1986	SRA Sample SRR1805011 29	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1056	SRA Sample SRR3160439 641	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1850	SRA Sample SRR1804611 97	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2136	SRA Sample SRR1805011 179	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2043	SRA Sample SRR1805011 86	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|76	SRA Sample SRR4408002 60	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|551	SRA Sample SRR3160439 136	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1625	SRA Sample SRR3160439 1210	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2510	SRA Sample SRR1805011 553	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2179	SRA Sample SRR1805011 222	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|31	SRA Sample SRR3160438 31	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|727	SRA Sample SRR3160439 312	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|162	SRA Sample SRR3160438 162	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|2735	SRA Sample SRR1803358 70	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2121	SRA Sample SRR1805011 164	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1495	SRA Sample SRR3160439 1080	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|356	SRA Sample SRR4408002 340	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1046	SRA Sample SRR3160439 631	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|38	SRA Sample SRR3160438 38	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|2910	SRA Sample SRR1803358 245	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1791	SRA Sample SRR1804611 38	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2759	SRA Sample SRR1803358 94	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2886	SRA Sample SRR1803358 221	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|287	SRA Sample SRR4408002 271	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|131	SRA Sample SRR4408002 115	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|923	SRA Sample SRR3160439 508	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2602	SRA Sample SRR1805011 645	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2229	SRA Sample SRR1805011 272	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2890	SRA Sample SRR1803358 225	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1548	SRA Sample SRR3160439 1133	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|158	SRA Sample SRR4408002 142	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|236	SRA Sample SRR4408002 220	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|557	SRA Sample SRR3160439 142	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|261	SRA Sample SRR4408002 245	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1549	SRA Sample SRR3160439 1134	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2727	SRA Sample SRR1803358 62	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|192	SRA Sample SRR4408002 176	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2918	SRA Sample SRR1803358 253	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1930	SRA Sample SRR1804611 177	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|5	SRA Sample SRR341602 5	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|582	SRA Sample SRR3160439 167	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2163	SRA Sample SRR1805011 206	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|369	SRA Sample SRR4408002 353	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2982	SRA Sample SRR1803358 317	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1856	SRA Sample SRR1804611 103	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1585	SRA Sample SRR3160439 1170	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2261	SRA Sample SRR1805011 304	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2431	SRA Sample SRR1805011 474	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1613	SRA Sample SRR3160439 1198	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2450	SRA Sample SRR1805011 493	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3080	SRA Sample SRR1803358 415	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2942	SRA Sample SRR1803358 277	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|714	SRA Sample SRR3160439 299	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2669	SRA Sample SRR1803358 4	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1609	SRA Sample SRR3160439 1194	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|52	SRA Sample SRR4408002 36	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2768	SRA Sample SRR1803358 103	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2692	SRA Sample SRR1803358 27	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2415	SRA Sample SRR1805011 458	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1852	SRA Sample SRR1804611 99	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2741	SRA Sample SRR1803358 76	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2180	SRA Sample SRR1805011 223	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1953	SRA Sample SRR1804611 200	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1323	SRA Sample SRR3160439 908	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2580	SRA Sample SRR1805011 623	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|929	SRA Sample SRR3160439 514	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1045	SRA Sample SRR3160439 630	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|498	SRA Sample SRR3160439 83	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1835	SRA Sample SRR1804611 82	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|29	SRA Sample SRR4408002 13	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2701	SRA Sample SRR1803358 36	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2085	SRA Sample SRR1805011 128	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|569	SRA Sample SRR3160439 154	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|432	SRA Sample SRR3160439 17	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1423	SRA Sample SRR3160439 1008	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1481	SRA Sample SRR3160439 1066	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1538	SRA Sample SRR3160439 1123	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1546	SRA Sample SRR3160439 1131	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1819	SRA Sample SRR1804611 66	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1154	SRA Sample SRR3160439 739	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|695	SRA Sample SRR3160439 280	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1157	SRA Sample SRR3160439 742	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1278	SRA Sample SRR3160439 863	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2761	SRA Sample SRR1803358 96	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2996	SRA Sample SRR1803358 331	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|273	SRA Sample SRR4408002 257	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1285	SRA Sample SRR3160439 870	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|123	SRA Sample SRR4408002 107	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1406	SRA Sample SRR3160439 991	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2718	SRA Sample SRR1803358 53	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1560	SRA Sample SRR3160439 1145	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1365	SRA Sample SRR3160439 950	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1065	SRA Sample SRR3160439 650	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1563	SRA Sample SRR3160439 1148	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|26	SRA Sample SRR4408002 10	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|165	SRA Sample SRR4408002 149	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1666	SRA Sample SRR3160439 1251	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|567	SRA Sample SRR3160439 152	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|437	SRA Sample SRR3160439 22	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1288	SRA Sample SRR3160439 873	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2374	SRA Sample SRR1805011 417	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2543	SRA Sample SRR1805011 586	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|249	SRA Sample SRR4408002 233	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|54	SRA Sample SRR4408002 38	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2460	SRA Sample SRR1805011 503	haplotype called by gretel version 0.0.8							
Lanzhou_Shi|20120101|China|8	SRA Sample ERR589821 1	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Unknown|00000000|Unknown|186	SRA Sample SRR4408002 170	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1492	SRA Sample SRR3160439 1077	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2252	SRA Sample SRR1805011 295	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2819	SRA Sample SRR1803358 154	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2426	SRA Sample SRR1805011 469	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2271	SRA Sample SRR1805011 314	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2162	SRA Sample SRR1805011 205	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1970	SRA Sample SRR1805011 13	haplotype called by gretel version 0.0.8							
Lanzhou_Shi|20120101|China|20	SRA Sample ERR589821 13	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Unknown|00000000|Unknown|711	SRA Sample SRR3160439 296	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1084	SRA Sample SRR3160439 669	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|171	SRA Sample SRR4408002 155	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|277	SRA Sample SRR4408002 261	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2430	SRA Sample SRR1805011 473	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1149	SRA Sample SRR3160439 734	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|48	SRA Sample SRR4408002 32	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1574	SRA Sample SRR3160439 1159	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2858	SRA Sample SRR1803358 193	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2787	SRA Sample SRR1803358 122	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|379	SRA Sample SRR4305224 1	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|28	SRA Sample SRR4408002 12	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|56	SRA Sample SRR4408002 40	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2476	SRA Sample SRR1805011 519	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|942	SRA Sample SRR3160439 527	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|756	SRA Sample SRR3160439 341	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|915	SRA Sample SRR3160439 500	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1079	SRA Sample SRR3160439 664	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2356	SRA Sample SRR1805011 399	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3002	SRA Sample SRR1803358 337	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|200	SRA Sample SRR4408002 184	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1039	SRA Sample SRR3160439 624	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|3004	SRA Sample SRR1803358 339	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1713	SRA Sample SRR3160439 1298	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2332	SRA Sample SRR1805011 375	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|363	SRA Sample SRR4408002 347	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|585	SRA Sample SRR3160439 170	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1518	SRA Sample SRR3160439 1103	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1317	SRA Sample SRR3160439 902	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|52	SRA Sample SRR1554402 52	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|677	SRA Sample SRR3160439 262	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1020	SRA Sample SRR3160439 605	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1965	SRA Sample SRR1805011 8	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|475	SRA Sample SRR3160439 60	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2150	SRA Sample SRR1805011 193	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2713	SRA Sample SRR1803358 48	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1390	SRA Sample SRR3160439 975	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2045	SRA Sample SRR1805011 88	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|90	SRA Sample SRR3160438 90	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|2740	SRA Sample SRR1803358 75	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2625	SRA Sample SRR1805011 668	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2636	SRA Sample SRR1805011 679	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|986	SRA Sample SRR3160439 571	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1225	SRA Sample SRR3160439 810	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|382	SRA Sample SRR4305224 4	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1459	SRA Sample SRR3160439 1044	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|434	SRA Sample SRR3160439 19	haplotype called by gretel version 0.0.8							
Division_No_18|20101001|Canada|13	SRA Sample SRR1554402 13	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Unknown|00000000|Unknown|3018	SRA Sample SRR1803358 353	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|185	SRA Sample SRR4408002 169	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2003	SRA Sample SRR1805011 46	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1017	SRA Sample SRR3160439 602	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|509	SRA Sample SRR3160439 94	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|69	SRA Sample SRR3160438 69	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|902	SRA Sample SRR3160439 487	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2033	SRA Sample SRR1805011 76	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1036	SRA Sample SRR3160439 621	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1136	SRA Sample SRR3160439 721	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|952	SRA Sample SRR3160439 537	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|2318	SRA Sample SRR1805011 361	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1270	SRA Sample SRR3160439 855	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|420	SRA Sample SRR3160439 5	haplotype called by gretel version 0.0.8							
Dallas|20140616|USA|40	SRA Sample SRR3160438 40	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Division_No_18|20101001|Canada|8	SRA Sample SRR1554402 8	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Division_No_18|20101001|Canada|41	SRA Sample SRR1554402 41	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Dallas|20140616|USA|34	SRA Sample SRR3160438 34	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Unknown|00000000|Unknown|1241	SRA Sample SRR3160439 826	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1226	SRA Sample SRR3160439 811	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|248	SRA Sample SRR4408002 232	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|839	SRA Sample SRR3160439 424	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1137	SRA Sample SRR3160439 722	haplotype called by gretel version 0.0.8							
Unknown|00000000|Unknown|1531	SRA Sample SRR3160439 1116	haplotype called by gretel version 0.0.8							
