sampleid	name	date	latitude	longitude	country	Brouns_A.20151106	Mazankova_primerA_20.20151201	Decewicz_Dziewit_Lodz_Aseq2.20160126	Decewicz_Dziewit_Lodz_Aseq5.20160303	Decewicz_Dziewit_Warsaw_Aseq2.20160303	Tyakht_Nov_287_A	Decewicz_Dziewit_Wyszkow_Aseq2.20160126	Decewicz_Dziewit_Wyszkow_Aseq2.20160303	Decewicz_Dziewit_Wyszkow_Aseq3.20160126	Decewicz_Dziewit_Wyszkow_Aseq3.20160303	Mazankova_primerA_22.20151201	Mazankova_primerA_14.20151201	Mazankova_primerA_13.20151201	Mazankova_primerA_18.20151201	Mazankova_primerA_12.20151201	Mazankova_primerA_10.20151201	Decewicz_Dziewit_Warsaw_Aseq1.20160303	Decewicz_Dziewit_Warsaw_Aseq1.20160126	Decewicz_Dziewit_Warsaw_Aseq3.20160126	Decewicz_Dziewit_Warsaw_Aseq4.20160303	Muniesa_E1_Gav_primerA.201510	Muniesa_1.1_Gav_primerA.201510	Muniesa_E23_Gav_primerA.201406	Muniesa_E13_Gav_primerA.201405	Muniesa_E8_ElPratdeLlobregat_primerA.201401	Muniesa_E2_Gav_primerA.201510	Muniesa_E4_Gav_primerA.201311	Muniesa_E7_Gav_primerA.201401	Muniesa_E32_Girona_primerA.201505	Muniesa_E14_ElPratdeLlobregat_primerA.201401	Mazankova_primerA_4.20151201	Mazankova_primerA_19.20151201	Decewicz_Dziewit_Oswiecim_Aseq5.20160303	Mazankova_primerA_9.20151201	Decewicz_Dziewit_Warsaw_Aseq2.20160126	Decewicz_Dziewit_Warsaw_Aseq4.20160126	Decewicz_Dziewit_Warsaw_Aseq5.20160303	Decewicz_Dziewit_Wyszkow_Aseq1.20160126	Decewicz_Dziewit_Wyszkow_Aseq1.20160303	Decewicz_Dziewit_Wyszkow_Aseq5.20160303	Decewicz_Dziewit_Oswiecim_Aseq2.20160303	Cinek_bin15_primerA.20151120	Cinek_bin16_primerA.20151120	Decewicz_Dziewit_Lodz_Aseq4.20160303	Strain_primerA.20151215	Decewicz_Dziewit_Oswiecim_Aseq1.20160303	Decewicz_Dziewit_Warsaw_Aseq3.20160303	Mazankova_primerA_2.20151201	Decewicz_Dziewit_Oswiecim_Aseq1.20160126	Decewicz_Dziewit_Oswiecim_Aseq3.20160303	DiazMunoz_Davis1_A	DiazMunoz_NYC_A	Lavigne.PrimerA.20160126	Tyakht_Spb_73_13P_A	Wagemans_A.20160412	Tyakht_OM_178_A	Decewicz_Dziewit_Oswiecim_Aseq2.20160126	Decewicz_Dziewit_Oswiecim_Aseq4.20160303	Mazankova_primerA_5.20151201	Cinek_bin79_primerA.20151120	Mazankova_primerA_7.20151201	Qimron_Ramallah_A_20151202	DiazMunoz_Davis3_A	Qimron_Qalqilyah_A_20151202	Mazankova_primerA_3.20151201	crAssphage_A	Decewicz_Dziewit_Lodz_Aseq1.20160303	Tyakht_Spb_105_45P_A	Mazankova_primerA_23.20151201	Cho_A.20160208	Qimron_Jericho_A_20151202	Mazankova_primerA_6.20151201	Qimron_Salfit_A_20151202	Mazankova_primerA_11.20151201	Decewicz_Dziewit_Lodz_Aseq3.20160303	Fineran_Dunedin_	Decewicz_Dziewit_Lodz_Aseq1.20160126	Decewicz_Dziewit_Lodz_Aseq2.20160303	Tyakht_Spb_74_14P_A	Cinek_bin08_primerA.20151120	Cinek_bin13_primerA.20151120	Decewicz_Dziewit_Wyszkow_Aseq4.20160303	Mazankova_primerA_16.20151201	Tyakht_Nov_282_A	Santos_A1.20160225	Cinek_bin11_primerA.20151120	Cinek_bin12_primerA.20151120	Cinek_bin14_primerA.20151120	Cinek_bin71_primerA.20151120	Cinek_bin56_primerA.20151120	Cinek_bin55_primerA.20151120	Fineran_Greymouth_A	Santos_A2.20160225	Edwards_A.20151002.S3	Edwards_A.20151209.S1	Edwards_A.20151209.S3	Edwards_A.20151209.S4	Edwards_A.20151209.S2	Santos_A10.20160225	Edwards_A.20151002.S2	Edwards_A.20151002.S1	Nigro_A.20161212.SandIsland	CazaresVinuesa_20160516	Nigro_A.20161212.Waianae	Zambrano_A.20160412.1	Santos_A9.20160225	Edwards_A.20151002.S4	Zambrano_A.20160412.s2
Mazankova_primerA_22.20151201	Mazankova primer A sample 22 20151201	20151201	49.1278897	16.6144122	Czech Republic	0.002225	0.015731	0.028346	0.028346	0.031787	0.032838	0.031842	0.031842	0.028373	0.028373	0.000000	0.000000	0.000000	0.001115	0.000000	0.001116	0.008936	0.007813	0.007813	0.007813	0.000000	0.000000	0.000000	0.000000	0.001123	0.001123	0.000000	0.001120	0.000000	0.006756	0.000000	0.002290	0.015730	0.000000	0.010075	0.010075	0.010075	0.011196	0.011196	0.010072	0.014599	0.013444	0.013444	0.019156	0.011194	0.011188	0.013434	0.000000	0.008954	0.008954	0.003343	0.001115	0.004455	0.011196	0.005597	0.015727	0.018000	0.018000	0.000000	0.007813	0.001133	0.007817	0.003349	0.005575	0.013443	0.016880	0.021415	0.013457	0.001137	0.021106	0.001111	0.004482	0.008948	0.010288	0.043551	0.007715	0.036538	0.036538	0.009005	0.040208	0.040208	0.062325	0.010386	0.050300	0.029508	0.122444	0.121016	0.121016	0.123728	0.119237	0.132290	0.005098	0.084038	0.097453	0.113369	0.066138	0.108990	0.148091	0.067919	0.092393	0.181372	0.185278	0.140731	0.181526	0.199530	0.132595	0.197812	0.235108
Mazankova_primerA_14.20151201	Mazankova primer A sample 14 20151201	20151201	48.9744694	14.4743417	Czech Republic	0.002228	0.016889	0.029566	0.029566	0.033001	0.032875	0.034226	0.034226	0.029578	0.029578	0.000000	0.000000	0.000000	0.001116	0.001119	0.001117	0.008948	0.006699	0.006699	0.006699	0.002246	0.002245	0.001123	0.001124	0.003374	0.003373	0.002244	0.003367	0.001118	0.009026	0.001116	0.003439	0.018021	0.003381	0.012329	0.012329	0.012329	0.012336	0.012336	0.011209	0.014619	0.016841	0.016841	0.022585	0.012322	0.013451	0.015712	0.002243	0.010087	0.010087	0.002229	0.000000	0.003342	0.013448	0.004479	0.016872	0.019156	0.019156	0.001157	0.010064	0.003407	0.010074	0.002231	0.006700	0.012332	0.015767	0.022572	0.014621	0.001137	0.022309	0.003341	0.004491	0.008953	0.011441	0.045890	0.007722	0.036556	0.036556	0.009002	0.041425	0.041425	0.063561	0.010406	0.050268	0.029561	0.122531	0.121102	0.121102	0.122573	0.119321	0.133796	0.005103	0.085663	0.096206	0.111688	0.066089	0.107610	0.148063	0.069431	0.091250	0.181341	0.183837	0.138114	0.179592	0.203875	0.132872	0.196289	0.235830
Mazankova_primerA_13.20151201	Mazankova primer A sample 13 20151201	20151201	49.7477831	13.3783489	Czech Republic	0.001604	0.008076	0.012970	0.012970	0.019544	0.012953	0.026195	0.026195	0.017927	0.017927	0.000000	0.000000	0.000000	0.001609	0.001608	0.001612	0.003212	0.003208	0.003208	0.003208	0.001619	0.001618	0.000000	0.000000	0.003246	0.003244	0.001617	0.003235	0.000000	0.011410	0.001607	0.003285	0.021123	0.003250	0.011270	0.011270	0.011270	0.009662	0.009662	0.006433	0.016225	0.019401	0.019401	0.026040	0.017813	0.017800	0.012901	0.001614	0.012944	0.012944	0.000000	0.000000	0.004820	0.016171	0.001609	0.016176	0.022774	0.022774	0.001693	0.012891	0.001614	0.011284	0.000000	0.006426	0.004817	0.004821	0.024377	0.011309	0.000000	0.027837	0.003206	0.004822	0.004811	0.013201	0.024467	0.011240	0.048182	0.048182	0.009691	0.027938	0.027938	0.027879	0.016569	0.048872	0.012970	0.105092	0.103094	0.103094	0.104003	0.100682	0.111014	0.007435	0.067589	0.094542	0.048031	0.036984	0.057947	0.132549	0.102964	0.084964	0.212142	0.028470	0.109244	0.042937	0.029795	0.184488	0.248894	0.214973
Mazankova_primerA_18.20151201	Mazankova primer A sample 18 20151201	20151201	49.8346453	18.2820442	Czech Republic	0.004450	0.019124	0.029480	0.029480	0.037613	0.034036	0.035294	0.035294	0.033004	0.033004	0.001115	0.001116	0.001609	0.000000	0.001122	0.002235	0.012296	0.007795	0.007795	0.007795	0.001122	0.001122	0.001122	0.001123	0.002248	0.002249	0.001122	0.001121	0.002234	0.009019	0.000000	0.004585	0.022534	0.003376	0.012306	0.012306	0.012306	0.014546	0.014546	0.013421	0.019122	0.016798	0.016798	0.021395	0.011180	0.014550	0.017937	0.002240	0.007808	0.007808	0.006693	0.005581	0.008917	0.015674	0.006703	0.019091	0.020234	0.020234	0.002311	0.013418	0.002265	0.011171	0.007825	0.010050	0.019102	0.020286	0.025942	0.019139	0.002281	0.021058	0.005559	0.006729	0.013442	0.014874	0.044606	0.007731	0.038829	0.038829	0.010134	0.043672	0.043672	0.065832	0.011565	0.053830	0.031788	0.124809	0.123379	0.123379	0.126252	0.121591	0.135938	0.005108	0.088402	0.099827	0.116352	0.069195	0.111750	0.152630	0.073332	0.096301	0.185361	0.191990	0.141870	0.187578	0.206398	0.133676	0.202374	0.242303
Mazankova_primerA_12.20151201	Mazankova primer A sample 12 20151201	20151201	49.1278897	16.6144122	Czech Republic	0.004483	0.014686	0.030904	0.030904	0.034361	0.031755	0.032036	0.032036	0.029741	0.029741	0.000000	0.001119	0.001608	0.001122	0.000000	0.001124	0.011260	0.008986	0.008986	0.008986	0.001126	0.001126	0.001127	0.001128	0.002255	0.002255	0.001125	0.002251	0.002247	0.007928	0.000000	0.002291	0.014666	0.002261	0.008994	0.008994	0.008994	0.014667	0.014667	0.013532	0.015812	0.014645	0.014645	0.018107	0.011250	0.012383	0.012374	0.001126	0.007872	0.007872	0.005612	0.002246	0.006726	0.012381	0.007888	0.015807	0.020386	0.020386	0.001161	0.008978	0.002275	0.008995	0.005616	0.006732	0.014672	0.015853	0.019236	0.015836	0.002283	0.021213	0.003359	0.003375	0.010131	0.011481	0.042583	0.007732	0.037920	0.037920	0.010182	0.041629	0.041629	0.061435	0.011592	0.050352	0.029724	0.121796	0.120362	0.120362	0.120404	0.118577	0.131551	0.005109	0.086138	0.099279	0.113870	0.068181	0.113041	0.147157	0.071308	0.094483	0.180691	0.186649	0.143194	0.183952	0.202162	0.137985	0.199198	0.238208
Mazankova_primerA_10.20151201	Mazankova primer A sample 10 20151201	20151201	49.6358083	18.4569128	Czech Republic	0.002228	0.016901	0.031871	0.031871	0.034174	0.036626	0.035357	0.035357	0.029553	0.029553	0.001116	0.001117	0.001612	0.002235	0.001124	0.000000	0.010077	0.007822	0.007822	0.007822	0.001124	0.001123	0.001123	0.001124	0.002250	0.002252	0.001123	0.002245	0.001118	0.009025	0.001118	0.003450	0.019155	0.002257	0.012335	0.012335	0.012335	0.012334	0.012334	0.011207	0.014617	0.015711	0.015711	0.022586	0.013460	0.012325	0.016841	0.001123	0.011216	0.011216	0.002230	0.001118	0.005579	0.013460	0.005605	0.019141	0.019153	0.019153	0.001157	0.010064	0.002271	0.010053	0.002234	0.007819	0.014587	0.018035	0.024832	0.014600	0.002283	0.023511	0.004453	0.005621	0.010066	0.012598	0.047128	0.007725	0.038904	0.038904	0.012422	0.041419	0.041419	0.064700	0.012748	0.054080	0.030694	0.123715	0.122284	0.122284	0.125112	0.120498	0.134987	0.005105	0.085607	0.097654	0.111783	0.067728	0.105805	0.144887	0.070809	0.092603	0.183438	0.187099	0.140858	0.181904	0.205408	0.134182	0.199931	0.238528
Decewicz_Dziewit_Warsaw_Aseq1.20160303	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351	20.959269	Poland	0.012216	0.031577	0.036168	0.036168	0.038471	0.047509	0.042071	0.042071	0.031589	0.031589	0.008936	0.008948	0.003212	0.012296	0.011260	0.010077	0.000000	0.011083	0.011083	0.011083	0.006732	0.006730	0.006730	0.005613	0.008999	0.007870	0.006730	0.007848	0.010059	0.013526	0.011170	0.013800	0.030412	0.014668	0.020091	0.020091	0.020091	0.020089	0.020089	0.018964	0.017877	0.023458	0.023458	0.032644	0.025800	0.023482	0.024627	0.010084	0.022401	0.022401	0.007769	0.008925	0.014459	0.026929	0.011144	0.029261	0.029227	0.029227	0.012727	0.022347	0.012473	0.021249	0.010019	0.017832	0.022402	0.021296	0.037338	0.022423	0.007973	0.032828	0.012213	0.013442	0.021243	0.018301	0.057280	0.011606	0.049145	0.049145	0.022546	0.046925	0.046925	0.070271	0.022018	0.064255	0.032741	0.132057	0.130618	0.130618	0.132601	0.127525	0.140746	0.008947	0.086139	0.104732	0.120783	0.073403	0.117285	0.156749	0.074090	0.102346	0.187386	0.183791	0.142524	0.186770	0.219077	0.135369	0.207448	0.249343
Decewicz_Dziewit_Warsaw_Aseq1.20160126	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351	20.959269	Poland	0.007744	0.029250	0.033858	0.033858	0.040792	0.043684	0.045513	0.045513	0.036206	0.036206	0.007813	0.006699	0.003208	0.007795	0.008986	0.007822	0.011083	0.000000	0.000000	0.000000	0.004479	0.004477	0.004478	0.003361	0.006736	0.005610	0.004478	0.004474	0.007799	0.011249	0.006673	0.013776	0.029222	0.011236	0.020071	0.020071	0.020071	0.018932	0.018932	0.017810	0.021243	0.026827	0.026827	0.032611	0.023500	0.021194	0.024602	0.008957	0.017852	0.017852	0.007764	0.008919	0.013318	0.025751	0.010008	0.032660	0.025761	0.025761	0.011544	0.021183	0.010180	0.018966	0.008891	0.015566	0.020133	0.023572	0.034989	0.022423	0.006829	0.030406	0.009969	0.014551	0.016707	0.020579	0.053645	0.010295	0.047931	0.047931	0.020263	0.050394	0.050394	0.068942	0.018476	0.064102	0.035050	0.131876	0.130440	0.130440	0.132412	0.127352	0.141878	0.007653	0.089076	0.100524	0.120627	0.075068	0.117255	0.158324	0.074090	0.100987	0.190632	0.188712	0.145314	0.184397	0.215716	0.132546	0.207297	0.246838
Decewicz_Dziewit_Warsaw_Aseq3.20160126	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351	20.959269	Poland	0.007744	0.029250	0.033858	0.033858	0.040792	0.043684	0.045513	0.045513	0.036206	0.036206	0.007813	0.006699	0.003208	0.007795	0.008986	0.007822	0.011083	0.000000	0.000000	0.000000	0.004479	0.004477	0.004478	0.003361	0.006736	0.005610	0.004478	0.004474	0.007799	0.011249	0.006673	0.013776	0.029222	0.011236	0.020071	0.020071	0.020071	0.018932	0.018932	0.017810	0.021243	0.026827	0.026827	0.032611	0.023500	0.021194	0.024602	0.008957	0.017852	0.017852	0.007764	0.008919	0.013318	0.025751	0.010008	0.032660	0.025761	0.025761	0.011544	0.021183	0.010180	0.018966	0.008891	0.015566	0.020133	0.023572	0.034989	0.022423	0.006829	0.030406	0.009969	0.014551	0.016707	0.020579	0.053645	0.010295	0.047931	0.047931	0.020263	0.050394	0.050394	0.068942	0.018476	0.064102	0.035050	0.131876	0.130440	0.130440	0.132412	0.127352	0.141878	0.007653	0.089076	0.100524	0.120627	0.075068	0.117255	0.158324	0.074090	0.100987	0.190632	0.188712	0.145314	0.184397	0.215716	0.132546	0.207297	0.246838
Decewicz_Dziewit_Warsaw_Aseq4.20160303	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351	20.959269	Poland	0.007744	0.029250	0.033858	0.033858	0.040792	0.043684	0.045513	0.045513	0.036206	0.036206	0.007813	0.006699	0.003208	0.007795	0.008986	0.007822	0.011083	0.000000	0.000000	0.000000	0.004479	0.004477	0.004478	0.003361	0.006736	0.005610	0.004478	0.004474	0.007799	0.011249	0.006673	0.013776	0.029222	0.011236	0.020071	0.020071	0.020071	0.018932	0.018932	0.017810	0.021243	0.026827	0.026827	0.032611	0.023500	0.021194	0.024602	0.008957	0.017852	0.017852	0.007764	0.008919	0.013318	0.025751	0.010008	0.032660	0.025761	0.025761	0.011544	0.021183	0.010180	0.018966	0.008891	0.015566	0.020133	0.023572	0.034989	0.022423	0.006829	0.030406	0.009969	0.014551	0.016707	0.020579	0.053645	0.010295	0.047931	0.047931	0.020263	0.050394	0.050394	0.068942	0.018476	0.064102	0.035050	0.131876	0.130440	0.130440	0.132412	0.127352	0.141878	0.007653	0.089076	0.100524	0.120627	0.075068	0.117255	0.158324	0.074090	0.100987	0.190632	0.188712	0.145314	0.184397	0.215716	0.132546	0.207297	0.246838
Muniesa_E1_Gav_primerA.201510	Muniesa E1 Gava primer A Raw Sewage	20151001	41.3037013	1.9858569	Spain	0.001118	0.015836	0.028515	0.028515	0.033152	0.031782	0.030828	0.030828	0.028542	0.028542	0.000000	0.002246	0.001619	0.001122	0.001126	0.001124	0.006732	0.004479	0.004479	0.004479	0.000000	0.000000	0.000000	0.000000	0.000000	0.001119	0.000000	0.000000	0.000000	0.007876	0.000000	0.001150	0.012388	0.001129	0.008983	0.008983	0.008983	0.010122	0.010122	0.008993	0.011270	0.011233	0.011233	0.014654	0.010124	0.010115	0.012371	0.000000	0.005611	0.005611	0.003369	0.001124	0.004486	0.012391	0.004503	0.016949	0.015810	0.015810	0.000000	0.005601	0.001136	0.007856	0.003376	0.003359	0.015825	0.018136	0.022668	0.013548	0.002289	0.020033	0.002235	0.002255	0.008999	0.011489	0.043793	0.007731	0.037954	0.037954	0.010199	0.039218	0.039218	0.060151	0.011607	0.049089	0.028530	0.118956	0.117530	0.117530	0.118866	0.115762	0.128666	0.005103	0.081663	0.096645	0.112073	0.069604	0.109605	0.143814	0.066963	0.094389	0.182056	0.185023	0.141840	0.179499	0.202413	0.126388	0.200543	0.233893
Muniesa_1.1_Gav_primerA.201510	Muniesa 1.1 Gava primer A Primary Treatment	20151001	41.3037013	1.9858569	Spain	0.001118	0.015831	0.028507	0.028507	0.033143	0.031772	0.030820	0.030820	0.028534	0.028534	0.000000	0.002245	0.001618	0.001122	0.001126	0.001123	0.006730	0.004477	0.004477	0.004477	0.000000	0.000000	0.000000	0.000000	0.000000	0.001119	0.000000	0.000000	0.000000	0.007874	0.000000	0.001150	0.012384	0.001129	0.008981	0.008981	0.008981	0.010119	0.010119	0.008990	0.011267	0.011229	0.011229	0.014650	0.010121	0.010112	0.012368	0.000000	0.005610	0.005610	0.003368	0.001123	0.004484	0.012388	0.004501	0.016944	0.015806	0.015806	0.000000	0.005599	0.001135	0.007854	0.003375	0.003358	0.015821	0.018131	0.022662	0.013544	0.002288	0.020027	0.002235	0.002254	0.008997	0.011486	0.043780	0.007731	0.037942	0.037942	0.010197	0.039206	0.039206	0.060131	0.011604	0.049066	0.028521	0.118910	0.117484	0.117484	0.118818	0.115718	0.128615	0.005103	0.081630	0.096609	0.112017	0.069574	0.109566	0.143760	0.066938	0.094361	0.181970	0.185023	0.141781	0.179404	0.202313	0.127853	0.200438	0.233694
Muniesa_E23_Gav_primerA.201406	Muniesa E23 Gava primer A Raw Sewage	20140601	41.3037013	1.9858569	Spain	0.001118	0.016983	0.028509	0.028509	0.033145	0.029314	0.028523	0.028523	0.027387	0.027387	0.000000	0.001123	0.000000	0.001122	0.001127	0.001123	0.006730	0.004478	0.004478	0.004478	0.000000	0.000000	0.000000	0.000000	0.000000	0.001121	0.000000	0.000000	0.000000	0.007871	0.000000	0.001151	0.011266	0.001130	0.008989	0.008989	0.008989	0.008993	0.008993	0.007865	0.011268	0.011240	0.011240	0.013532	0.010131	0.010122	0.012380	0.000000	0.005615	0.005615	0.003368	0.002247	0.004485	0.012400	0.004502	0.015811	0.014674	0.014674	0.000000	0.005605	0.001136	0.006730	0.003376	0.003358	0.015822	0.018132	0.020386	0.013545	0.001144	0.018845	0.001117	0.003386	0.008997	0.010335	0.043825	0.007729	0.036785	0.036785	0.009062	0.038046	0.038046	0.057747	0.010441	0.047301	0.027375	0.116356	0.114935	0.114935	0.117439	0.113180	0.126039	0.005106	0.080207	0.096621	0.112037	0.068052	0.109573	0.145547	0.066946	0.095607	0.183636	0.184970	0.141805	0.179352	0.202613	0.127738	0.200487	0.231478
Muniesa_E13_Gav_primerA.201405	Muniesa E13 Gava primer A Raw Sewage	20140501	41.3037013	1.9858569	Spain	0.000000	0.015864	0.027391	0.027391	0.032028	0.029348	0.028554	0.028554	0.026268	0.026268	0.000000	0.001124	0.000000	0.001123	0.001128	0.001124	0.005613	0.003361	0.003361	0.003361	0.000000	0.000000	0.000000	0.000000	0.000000	0.001121	0.000000	0.000000	0.000000	0.007876	0.000000	0.001152	0.011279	0.001132	0.008999	0.008999	0.008999	0.009003	0.009003	0.007874	0.010149	0.011252	0.011252	0.013547	0.010142	0.010133	0.012393	0.000000	0.005621	0.005621	0.002247	0.001124	0.003366	0.012413	0.003379	0.015828	0.014690	0.014690	0.000000	0.005611	0.001138	0.006738	0.002252	0.002241	0.014703	0.017012	0.020408	0.012426	0.001145	0.018866	0.001118	0.002259	0.007879	0.010346	0.043872	0.007737	0.036825	0.036825	0.009072	0.038087	0.038087	0.057810	0.010453	0.047378	0.026256	0.116485	0.115062	0.115062	0.117575	0.113306	0.126179	0.005106	0.078875	0.095447	0.110533	0.068110	0.108191	0.144175	0.065667	0.094436	0.182438	0.183649	0.140460	0.178013	0.202840	0.126664	0.199228	0.231715
Muniesa_E8_ElPratdeLlobregat_primerA.201401	Muniesa E8 El Prat de Llobregat primer A Raw Sewage	20140101	41.3224312	2.0828713	Spain	0.002239	0.016991	0.030880	0.030880	0.034344	0.033091	0.030864	0.030864	0.028575	0.028575	0.001123	0.003374	0.003246	0.002248	0.002255	0.002250	0.008999	0.006736	0.006736	0.006736	0.000000	0.000000	0.000000	0.000000	0.000000	0.002243	0.001120	0.001118	0.001121	0.009013	0.001122	0.001150	0.012402	0.002263	0.011259	0.011259	0.011259	0.012404	0.012404	0.011272	0.012415	0.013515	0.013515	0.015819	0.011264	0.010125	0.013515	0.001126	0.007877	0.007877	0.004499	0.002251	0.005615	0.013537	0.006772	0.018104	0.016963	0.016963	0.001164	0.006730	0.002275	0.008991	0.004508	0.004485	0.016979	0.020458	0.022694	0.014697	0.003438	0.022453	0.003358	0.003387	0.010138	0.011486	0.046224	0.007735	0.039159	0.039159	0.011349	0.040429	0.040429	0.060220	0.012786	0.049100	0.029744	0.119099	0.117671	0.117671	0.119015	0.115901	0.127332	0.005106	0.083320	0.099448	0.115761	0.072963	0.113006	0.145605	0.069863	0.095791	0.183724	0.185043	0.144855	0.181227	0.204092	0.129419	0.202309	0.231461
Muniesa_E2_Gav_primerA.201510	Muniesa E2 Gava primer A Raw Sewage	20151001	41.3037013	1.9858569	Spain	0.002241	0.017002	0.029718	0.029718	0.034367	0.033048	0.032037	0.032037	0.029746	0.029746	0.001123	0.003373	0.003244	0.002249	0.002255	0.002252	0.007870	0.005610	0.005610	0.005610	0.001119	0.001119	0.001121	0.001121	0.002243	0.000000	0.001119	0.001119	0.001122	0.009020	0.001122	0.002305	0.013542	0.002264	0.008997	0.008997	0.008997	0.011270	0.011270	0.010138	0.012423	0.012381	0.012381	0.015813	0.011272	0.011262	0.013524	0.001127	0.006747	0.006747	0.004501	0.002252	0.005618	0.013546	0.005640	0.016976	0.016975	0.016975	0.001164	0.005610	0.002275	0.008997	0.004511	0.004488	0.016990	0.019309	0.023851	0.014707	0.003441	0.020049	0.003360	0.003390	0.010145	0.011511	0.045040	0.009042	0.038015	0.038015	0.010207	0.040457	0.040457	0.061462	0.012786	0.050946	0.029733	0.120483	0.119051	0.119051	0.120458	0.117272	0.131772	0.006395	0.083198	0.098123	0.114033	0.071351	0.111410	0.145748	0.067090	0.095866	0.183855	0.185266	0.141983	0.181502	0.204277	0.128010	0.202502	0.240161
Muniesa_E4_Gav_primerA.201311	Muniesa E4 Gava primer A Raw Sewage	20131101	41.3037013	1.9858569	Spain	0.001118	0.015833	0.028510	0.028510	0.033146	0.031747	0.030823	0.030823	0.028537	0.028537	0.000000	0.002244	0.001617	0.001122	0.001125	0.001123	0.006730	0.004478	0.004478	0.004478	0.000000	0.000000	0.000000	0.000000	0.001120	0.001119	0.000000	0.000000	0.000000	0.007880	0.000000	0.001150	0.012386	0.001129	0.008981	0.008981	0.008981	0.010120	0.010120	0.008991	0.011268	0.011231	0.011231	0.014651	0.010122	0.010114	0.012369	0.000000	0.005610	0.005610	0.003368	0.001124	0.004485	0.012389	0.004502	0.016946	0.015807	0.015807	0.000000	0.005600	0.001135	0.007855	0.003376	0.003359	0.015822	0.018132	0.022664	0.013546	0.002289	0.020012	0.002235	0.002255	0.008998	0.011490	0.043785	0.007736	0.037946	0.037946	0.010189	0.039211	0.039211	0.060138	0.011605	0.049018	0.028524	0.118927	0.117501	0.117501	0.118835	0.115734	0.130172	0.005108	0.081558	0.096622	0.112038	0.069585	0.109574	0.145533	0.066947	0.094366	0.182003	0.183198	0.140327	0.181386	0.202352	0.126356	0.200478	0.236858
Muniesa_E7_Gav_primerA.201401	Muniesa E7 Gava primer A Raw Sewage	20140101	41.3037013	1.9858569	Spain	0.001117	0.016956	0.028483	0.028483	0.035460	0.033017	0.031981	0.031981	0.029695	0.029695	0.001120	0.003367	0.003235	0.001121	0.002251	0.002245	0.007848	0.004474	0.004474	0.004474	0.000000	0.000000	0.000000	0.000000	0.001118	0.001119	0.000000	0.000000	0.000000	0.007872	0.000000	0.002299	0.013519	0.001129	0.010099	0.010099	0.010099	0.011239	0.011239	0.010111	0.012389	0.012348	0.012348	0.015787	0.010113	0.011232	0.013487	0.001123	0.005605	0.005605	0.004489	0.002246	0.005603	0.013509	0.005625	0.018067	0.015793	0.015793	0.001161	0.006717	0.001134	0.008972	0.004499	0.004476	0.016944	0.019256	0.023810	0.014667	0.003431	0.021197	0.003351	0.003380	0.010117	0.012633	0.044913	0.007733	0.039076	0.039076	0.010188	0.041550	0.041550	0.061350	0.011604	0.050792	0.029681	0.120238	0.118810	0.118810	0.120203	0.117036	0.131500	0.005106	0.083099	0.096593	0.111991	0.069550	0.109523	0.145486	0.068242	0.094345	0.181921	0.186421	0.142987	0.182482	0.203534	0.127757	0.200376	0.236541
Muniesa_E32_Girona_primerA.201505	Muniesa E32 Girona primer A Raw Sewage	20150501	41.3942867	2.1701905	Spain	0.002220	0.021428	0.031842	0.031842	0.035266	0.034062	0.034130	0.034130	0.031843	0.031843	0.000000	0.001118	0.000000	0.002234	0.002247	0.001118	0.010059	0.007799	0.007799	0.007799	0.000000	0.000000	0.000000	0.000000	0.001121	0.001122	0.000000	0.000000	0.000000	0.007872	0.001116	0.003435	0.020257	0.002246	0.013431	0.013431	0.013431	0.013420	0.013420	0.012296	0.012314	0.015663	0.015663	0.021384	0.014566	0.015678	0.020227	0.000000	0.013461	0.013461	0.004458	0.002232	0.004447	0.016816	0.005592	0.017970	0.019083	0.019083	0.002311	0.010033	0.003393	0.011182	0.004466	0.005564	0.018009	0.021473	0.029434	0.014611	0.002282	0.023480	0.005564	0.008996	0.010056	0.012578	0.047009	0.007725	0.040026	0.040026	0.010135	0.043643	0.043643	0.062105	0.011565	0.052045	0.034212	0.119390	0.117973	0.117973	0.119327	0.117612	0.132001	0.005105	0.088625	0.098773	0.118116	0.074004	0.113372	0.149620	0.069297	0.095077	0.185862	0.185174	0.144134	0.182612	0.207977	0.130917	0.202396	0.238049
