#Sequence ID	name	method	country	date	latlon	latitude	longitude	locality	lat_lon
Lanzhou_Shi|20130101|China|15	SRA Sample ERR1578694 15	haplotype called by gretel version 0.0.8	China	20130101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Lanzhou_Shi|20110101|China|11	SRA Sample ERR527104 2	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Baltimore|20140623|USA|6	SRA Sample SRR4481813 5	haplotype called by gretel version 0.0.8	USA	20140623	39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	39.288462639338995 N 76.62594594061375 W
Kjellerup|20090101|Denmark|750	SRA Sample ERR321621 19	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Kjellerup|20090101|Denmark|307	SRA Sample ERR321523 39	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Montreal|20100309|Canada|2	SRA Sample SRR2566043 2	haplotype called by gretel version 0.0.8	Canada	20100309	45.50,-73.63	45.50	-73.63	Montreal	45.50 N 73.63 W
Montreal|20100325|Canada|22	SRA Sample SRR2566056 22	haplotype called by gretel version 0.0.8	Canada	20100325	45.50,-73.63	45.50	-73.63	Montreal	45.50 N 73.63 W
Kjellerup|20090101|Denmark|393	SRA Sample ERR414235 19	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Madrid|20090101|Spain|26	SRA Sample ERR209680 2	haplotype called by gretel version 0.0.8	Spain	20090101	40.463667,-3.74922	40.463667	-3.74922	Madrid	
Roma|20130101|Italy|62	SRA Sample SRR4074260 57	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Kjellerup|20090101|Denmark|235	SRA Sample ERR321591 28	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Lanzhou_Shi|20140101|China|83	SRA Sample ERR1190712 2	haplotype called by gretel version 0.0.8	China	20140101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Ghan|20120101|Australia|9	SRA Sample ERR505085 8	haplotype called by gretel version 0.0.8	Australia	20120101	-25.274398,133.775136	-25.274398	133.775136	Ghan	
Roma|20130101|Italy|975	SRA Sample SRR4074332 235	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Kjellerup|20090101|Denmark|47	SRA Sample ERR209515 2	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Montreal|20100416|Canada|19	SRA Sample SRR2566059 19	haplotype called by gretel version 0.0.8	Canada	20100416	45.50,-73.63	45.50	-73.63	Montreal	45.50 N 73.63 W
Kjellerup|20090101|Denmark|674	SRA Sample ERR321574 8	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Roma|20130101|Italy|337	SRA Sample SRR4074260 332	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Dallas|20140616|USA|119	SRA Sample SRR3160438 119	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Roma|20130101|Italy|1046	SRA Sample SRR4074332 306	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Lanzhou_Shi|20120101|China|122	SRA Sample ERR1018235 3	haplotype called by gretel version 0.0.8	China	20120101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Roma|20130101|Italy|654	SRA Sample SRR4074260 649	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Dallas|20140616|USA|211	SRA Sample SRR3160438 211	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Niederdorla|20100501|Germany|16	SRA Sample SRR2155386 16	haplotype called by gretel version 0.0.8	Germany	20100501	51.165691,10.451526	51.165691	10.451526	Niederdorla	
Courtaboeuf_Cedex|20050101|France|63	SRA Sample ERR479396 10	haplotype called by gretel version 0.0.8	France	20050101	46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	
Kjellerup|20090101|Denmark|527	SRA Sample ERR321275 39	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Lanzhou_Shi|20110101|China|21	SRA Sample ERR527073 3	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Roma|20130101|Italy|148	SRA Sample SRR4074260 143	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Lanzhou_Shi|20110101|China|135	SRA Sample ERR527135 96	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Baltimore|20140608|USA|55	SRA Sample SRR4435814 53	haplotype called by gretel version 0.0.8	USA	20140608	39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	39.288462639338995 N 76.62594594061375 W
Kjellerup|20090101|Denmark|684	SRA Sample ERR321574 18	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Evrange|20121018|Luxembourg|26	SRA Sample SRR3313045 26	haplotype called by gretel version 0.0.8	Luxembourg	20121018	49.5,6.2	49.5	6.2	Evrange	49.5 N 6.2 E
Roma|20130101|Italy|622	SRA Sample SRR4074260 617	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Roma|20130101|Italy|1038	SRA Sample SRR4074332 298	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Montreal|20101118|Canada|51	SRA Sample SRR2565925 51	haplotype called by gretel version 0.0.8	Canada	20101118	45.50,-73.63	45.50	-73.63	Montreal	45.50 N 73.63 W
Kjellerup|20090101|Denmark|593	SRA Sample ERR321572 27	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Roma|20130101|Italy|612	SRA Sample SRR4074260 607	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Kjellerup|20090101|Denmark|178	SRA Sample ERR525843 9	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Kjellerup|20090101|Denmark|658	SRA Sample ERR525967 37	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Roma|20130101|Italy|73	SRA Sample SRR4074260 68	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Courtaboeuf_Cedex|20050101|France|53	SRA Sample ERR479368 1	haplotype called by gretel version 0.0.8	France	20050101	46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	
Madrid|20090101|Spain|47	SRA Sample ERR209793 17	haplotype called by gretel version 0.0.8	Spain	20090101	40.463667,-3.74922	40.463667	-3.74922	Madrid	
Dallas|20140616|USA|16	SRA Sample SRR3160438 16	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Dallas|20140616|USA|41	SRA Sample SRR3160438 41	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Dallas|20140616|USA|144	SRA Sample SRR3160438 144	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Lanzhou_Shi|20110101|China|118	SRA Sample ERR527135 79	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Division_No_18|20101001|Canada|74	SRA Sample SRR1554402 40	haplotype called by gretel version 0.0.8	Canada	20101001	56.130366,-106.346771	56.130366	-106.346771	Division No. 18	
Madrid|20090101|Spain|29	SRA Sample ERR209680 5	haplotype called by gretel version 0.0.8	Spain	20090101	40.463667,-3.74922	40.463667	-3.74922	Madrid	
Kjellerup|20090101|Denmark|466	SRA Sample ERR525802 33	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Lanzhou_Shi|20130101|China|31	SRA Sample ERR1578694 31	haplotype called by gretel version 0.0.8	China	20130101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Kjellerup|20090101|Denmark|66	SRA Sample ERR321530 9	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Ghan|20120101|Australia|14	SRA Sample ERR505085 13	haplotype called by gretel version 0.0.8	Australia	20120101	-25.274398,133.775136	-25.274398	133.775136	Ghan	
Lanzhou_Shi|20110101|China|8	SRA Sample ERR527189 1	haplotype called by gretel version 0.0.8	China	20110101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Kjellerup|20090101|Denmark|114	SRA Sample ERR321530 57	haplotype called by gretel version 0.0.8	Denmark	20090101	56.26392,9.501785	56.26392	9.501785	Kjellerup	
Dallas|20140616|USA|91	SRA Sample SRR3160438 91	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
Independence|20120705|USA|3	SRA Sample SRR2940947 3	haplotype called by gretel version 0.0.8	USA	20120705	37.09024,-95.712891	37.09024	-95.712891	Independence	
Roma|20130101|Italy|137	SRA Sample SRR4074260 132	haplotype called by gretel version 0.0.8	Italy	20130101	41.87194,12.56738	41.87194	12.56738	Roma	
Evrange|20121018|Luxembourg|15	SRA Sample SRR3313045 15	haplotype called by gretel version 0.0.8	Luxembourg	20121018	49.5,6.2	49.5	6.2	Evrange	49.5 N 6.2 E
Niederdorla|20101101|Germany|21	SRA Sample SRR2155309 21	haplotype called by gretel version 0.0.8	Germany	20101101	51.165691,10.451526	51.165691	10.451526	Niederdorla	
Lanzhou_Shi|20140101|China|18	SRA Sample ERR1190968 8	haplotype called by gretel version 0.0.8	China	20140101	35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	
Dallas|20140616|USA|122	SRA Sample SRR3160438 122	haplotype called by gretel version 0.0.8	USA	20140616	32.8094,-96.8365	32.8094	-96.8365	Dallas	32.8094 N 96.8365 W
