#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
Warszawa|20160303|Poland|4	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw															
Warszawa|20160303|Poland|5	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw															
Kjellerup|20090101|Denmark|248	SRA Sample ERR209286 2	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|249	SRA Sample ERR209286 3	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|246	SRA Sample ERR321559 5	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|247	SRA Sample ERR209286 1	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|244	SRA Sample ERR321559 3	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|245	SRA Sample ERR321559 4	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|242	SRA Sample ERR321559 1	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|243	SRA Sample ERR321559 2	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|240	SRA Sample ERR321202 3	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|241	SRA Sample ERR321202 4	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|79	SRA Sample ERR209823 7	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|78	SRA Sample ERR209823 6	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|73	SRA Sample ERR209823 1	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|72	SRA Sample ERR414735 1	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|71	SRA Sample ERR414428 1	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|70	SRA Sample ERR414370 3	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|77	SRA Sample ERR209823 5	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|76	SRA Sample ERR209823 4	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|75	SRA Sample ERR209823 3	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|74	SRA Sample ERR209823 2	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Guangzhou|20160128|China|1	64.China.Guangzhou.28-01-2016	20160128	23.12911,113.264385		23.12911	113.264385				China	Guangzhou																			crAssphage_C 1-1238 (100%) aligns to NODE_25315_length_2987_cov_3.77012 225-1462 with 94.750% identity	
Pakenham|20161213|Australia|1	Barr Monash Sample1 PrimerC 20161213	20161213	-38.1122141,145.4864454	C	-38.1122141	145.4864454	1	Pakenham WWTP, Victoria, Australia	WWTP	Australia	Pakenham																				
Courtaboeuf_Cedex|20050101|France|44	SRA Sample ERR479111 4	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Courtaboeuf_Cedex|20050101|France|45	SRA Sample ERR479414 1	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Courtaboeuf_Cedex|20050101|France|46	SRA Sample ERR479414 2	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Courtaboeuf_Cedex|20050101|France|47	SRA Sample ERR479414 3	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Courtaboeuf_Cedex|20050101|France|40	SRA Sample ERR479235 9	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|70	SRA Sample ERR209509 9	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Courtaboeuf_Cedex|20050101|France|42	SRA Sample ERR479111 2	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Courtaboeuf_Cedex|20050101|France|43	SRA Sample ERR479111 3	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|33	SRA Sample SRR1554403 33	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|32	SRA Sample SRR1554403 32	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|31	SRA Sample SRR1554403 31	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|30	SRA Sample SRR1554403 30	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Carlsbad|20151012|USA|1	Edwards Primer C Site 3 20151012	20151012	33.116202,-117.321597	C	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University															
Division_No_18|20101001|Canada|36	SRA Sample SRR1554403 36	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|35	SRA Sample SRR1554403 35	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|34	SRA Sample SRR1554403 34	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|39	SRA Sample SRR1554403 39	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|38	SRA Sample SRR1554403 38	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|128	SRA Sample ERR1018191 4	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|129	SRA Sample ERR1018191 5	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Girona|20141125|Spain|1	SRA Sample SRR2097333 1	20141125	42.025312,2.831897		42.025312	2.831897				Spain	Girona									haplotype called by gretel version 0.0.8											42.025312 N 2.831897 E
Dana_Point|20170403|USA|1	BibbyS5_20170403	20170403	33.4669069,-117.6872511	C	33.4669069	-117.6872511				USA	Dana Point		J. B. Latham Plant, 34156 Del Obispo, Dana Pt., CA 92629																		
Kjellerup|20090101|Denmark|147	SRA Sample ERR525890 4	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Girona|20141125|Spain|2	SRA Sample SRR2097333 2	20141125	42.025312,2.831897		42.025312	2.831897				Spain	Girona									haplotype called by gretel version 0.0.8											42.025312 N 2.831897 E
Lanzhou_Shi|20140101|China|28	SRA Sample ERR1190555 2	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|29	SRA Sample ERR1190555 3	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|24	SRA Sample ERR1190711 20	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|25	SRA Sample ERR1190711 21	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|26	SRA Sample ERR1190955 1	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|27	SRA Sample ERR1190555 1	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|20	SRA Sample ERR1190711 16	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|21	SRA Sample ERR1190711 17	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|22	SRA Sample ERR1190711 18	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|23	SRA Sample ERR1190711 19	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Girona|20141125|Spain|7	SRA Sample SRR2097333 7	20141125	42.025312,2.831897		42.025312	2.831897				Spain	Girona									haplotype called by gretel version 0.0.8											42.025312 N 2.831897 E
Girona|20141125|Spain|6	SRA Sample SRR2097333 6	20141125	42.025312,2.831897		42.025312	2.831897				Spain	Girona									haplotype called by gretel version 0.0.8											42.025312 N 2.831897 E
Lanzhou_Shi|20110101|China|16	SRA Sample ERR527055 1	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|17	SRA Sample ERR527073 1	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|14	SRA Sample ERR527104 5	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|15	SRA Sample ERR527104 6	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|12	SRA Sample ERR527104 3	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|13	SRA Sample ERR527104 4	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|10	SRA Sample ERR527104 1	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|11	SRA Sample ERR527104 2	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|18	SRA Sample ERR527073 2	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|19	SRA Sample ERR527073 3	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Encinitas|20160901|USA|1	Cardiff Primer C Site 2 20160901	20160901	33.016467,-117.273686	C	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201609						2						
Ljubljana|20160125|Slovenia|1	38.Slovenia.Ljubljana.25-01-2016	20160125	46.0569465,14.5057515		46.0569465	14.5057515				Slovenia	Ljubljana																			crAssphage_C 1-821 (66%) aligns to NODE_647_length_15330_cov_47.3448 821-1 with 96.955% identity	
Tirana|20160201|Albania|1	17.Albania.Tirana.01-02-2016	20160201	41.3275459,19.8186982		41.3275459	19.8186982				Albania	Tirana																			crAssphage_C 1-1238 (100%) aligns to NODE_41_length_48044_cov_21.6149 7277-6040 with 98.142% identity	
Skopje|20160202|Macedonia|1	62.Macedonia.Skopje.02-02-2016	20160202	41.9973462,21.4279956		41.9973462	21.4279956				Macedonia	Skopje																			crAssphage_C 1-821 (66%) aligns to NODE_1061_length_15268_cov_126.974 821-1 with 99.756% identity	
Zhongshan_Shi|20110101|China|9	SRA Sample SRR1535306 9	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Zhongshan_Shi|20110101|China|8	SRA Sample SRR1535306 8	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Kjellerup|20090101|Denmark|9	SRA Sample ERR321506 9	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Montreal|20100430|Canada|1	SRA Sample SRR2565543 1	20100430	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Zhongshan_Shi|20110101|China|3	SRA Sample SRR1535306 3	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Ostrava|20151201|Czech_Republic|1	Cinek primerC sample 18 20151201	20151201	49.8346453,18.2820442	C	49.8346453	18.2820442	352	Usti n. Labem	pre-sewage treatment plant	Czech_Republic	Ostrava				Ondrej Cinek	Univerzita Karlova															
Zhongshan_Shi|20110101|China|1	SRA Sample SRR1535306 1	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Zhongshan_Shi|20110101|China|7	SRA Sample SRR1535306 7	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Zhongshan_Shi|20110101|China|6	SRA Sample SRR1535306 6	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Zhongshan_Shi|20110101|China|5	SRA Sample SRR1535306 5	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Zhongshan_Shi|20110101|China|4	SRA Sample SRR1535306 4	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Oslo|20060505|Norway|1	Cinek.Norway.amplicons.T11066_C	20060505	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20060505		200605	Sanger											
Gava|20151001|Spain|2	Muniesa E2 Gava primer C Raw Sewage	20151001	41.3037013,1.9858569	C	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw sewage					
Gava|20151001|Spain|3	Muniesa 1.1 Gava primer C Primary Treatment	20151001	41.3037013,1.9858569	C	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Primary Treatment					
Gava|20151001|Spain|1	Muniesa E1 Gava primer C Raw Sewage	20151001	41.3037013,1.9858569	C	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw sewage					
Montreal|20100205|Canada|1	SRA Sample SRR2566018 1	20100205	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Sergelen|20130601|Mongolia|9	SRA Sample SRR3992985 2	20130601	47.55,106.80		47.55	106.80				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.80 E
Sergelen|20130601|Mongolia|8	SRA Sample SRR3992985 1	20130601	47.55,106.80		47.55	106.80				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.80 E
Sergelen|20130601|Mongolia|7	SRA Sample SRR3992973 1	20130601	47.55,106.69		47.55	106.69				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.69 E
Sergelen|20130601|Mongolia|6	SRA Sample SRR3992984 6	20130601	47.55,106.79		47.55	106.79				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.79 E
Sergelen|20130601|Mongolia|5	SRA Sample SRR3992984 5	20130601	47.55,106.79		47.55	106.79				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.79 E
Sergelen|20130601|Mongolia|4	SRA Sample SRR3992984 4	20130601	47.55,106.79		47.55	106.79				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.79 E
Sergelen|20130601|Mongolia|3	SRA Sample SRR3992984 3	20130601	47.55,106.79		47.55	106.79				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.79 E
Sergelen|20130601|Mongolia|2	SRA Sample SRR3992984 2	20130601	47.55,106.79		47.55	106.79				Mongolia	Sergelen									haplotype called by gretel version 0.0.8											47.55 N 106.79 E
Bratislava|20160202|Slovakia|1	9.Slovakia.Bratislava.02-02-2016	20160202	48.1485965,17.1077478		48.1485965	17.1077478				Slovakia	Bratislava																			crAssphage_C 1-791 (64%) aligns to NODE_558_length_16129_cov_51.369 791-1 with 98.862% identity	
Rybienko_Stare|20160303|Poland|3	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw															
Rybienko_Stare|20160303|Poland|2	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw															
Rybienko_Stare|20160303|Poland|1	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw															
Bethesda|19901030|USA|1	SRA Sample SRR1714192 1	19901030	38.98,-77.11		38.98	-77.11				USA	Bethesda									haplotype called by gretel version 0.0.8											38.98 N 77.11 W
Rybienko_Stare|20160303|Poland|5	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw															
Rybienko_Stare|20160303|Poland|4	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw															
New_York|20141214|United_States|1	DiazMunoz_NYC_C	20141214	40.7128,-74.0059	C	40.7128	-74.0059				United States	New York			10.453m	Sam Diaz Munoz	NYU/UC Davis								Pooled sewer samples from 14 locations around New York City. The coordinates are the center of the city							
Baltimore|20140609|USA|3	SRA Sample SRR4435767 1	20140609	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Roma|20130101|Italy|12	SRA Sample SRR4074260 8	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|13	SRA Sample SRR4074260 9	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|10	SRA Sample SRR4074260 6	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|11	SRA Sample SRR4074260 7	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|16	SRA Sample SRR4074260 12	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|17	SRA Sample SRR4074260 13	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|14	SRA Sample SRR4074260 10	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|15	SRA Sample SRR4074260 11	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|18	SRA Sample SRR4074260 14	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|19	SRA Sample SRR4074260 15	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Evrange|20121018|Luxembourg|38	SRA Sample SRR3313045 38	20121018	49.5,6.2		49.5	6.2				Luxembourg	Evrange									haplotype called by gretel version 0.0.8											49.5 N 6.2 E
Kjellerup|20090101|Denmark|54	SRA Sample ERR414235 10	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|55	SRA Sample ERR414235 11	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|56	SRA Sample ERR414235 12	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|57	SRA Sample ERR414235 13	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|50	SRA Sample ERR414235 6	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
