#Sequence ID	name	method	country	date	lat_lon	latlon	latitude	longitude	locality
Lanzhou_Shi|20120101|China|313	SRA Sample ERR1018206 183	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20140101|China|16	SRA Sample ERR1190711 13	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|679	SRA Sample SRR4074260 673	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|229	SRA Sample ERR527107 218	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|352	SRA Sample ERR527107 341	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20140101|China|113	SRA Sample ERR1190584 22	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|362	SRA Sample ERR1018206 232	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|402	SRA Sample SRR4074260 396	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|351	SRA Sample SRR4074260 345	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|1020	SRA Sample ERR528336 2	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|383	SRA Sample SRR4074260 377	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|405	SRA Sample SRR4074260 399	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Kjellerup|20090101|Denmark|112	SRA Sample ERR321524 6	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Roma|20130101|Italy|775	SRA Sample SRR4074260 769	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|189	SRA Sample ERR1018206 59	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|688	SRA Sample SRR4074260 682	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20140101|China|160	SRA Sample ERR1190640 1	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Kjellerup|20090101|Denmark|25	SRA Sample ERR321483 2	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Lanzhou_Shi|20110101|China|186	SRA Sample ERR527107 175	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Courtaboeuf_Cedex|20050101|France|68	SRA Sample ERR479396 11	haplotype called by gretel version 0.0.8	France	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex
Roma|20130101|Italy|853	SRA Sample SRR4074260 847	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|229	SRA Sample SRR4074260 223	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|345	SRA Sample SRR4074260 339	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Kjellerup|20090101|Denmark|66	SRA Sample ERR525843 5	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Lincoln|20121005|USA|5	SRA Sample SRR3737026 5	haplotype called by gretel version 0.0.8	USA	20121005	40.829 N 96.667 W	40.829,-96.667	40.829	-96.667	Lincoln
Roma|20130101|Italy|1304	SRA Sample SRR4074332 415	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|135	SRA Sample ERR1018206 5	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Kjellerup|20090101|Denmark|57	SRA Sample ERR321483 34	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Roma|20130101|Italy|295	SRA Sample SRR4074260 289	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|460	SRA Sample ERR527107 449	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|989	SRA Sample ERR527135 109	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|440	SRA Sample ERR527107 429	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Dallas|20140616|USA|24	SRA Sample SRR3160438 24	haplotype called by gretel version 0.0.8	USA	20140616	32.8094 N 96.8365 W	32.8094,-96.8365	32.8094	-96.8365	Dallas
Lanzhou_Shi|20140101|China|184	SRA Sample ERR1190635 4	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|887	SRA Sample ERR1018191 25	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Montreal|20101118|Canada|8	SRA Sample SRR2565925 8	haplotype called by gretel version 0.0.8	Canada	20101118	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Lincoln|20121018|USA|1	SRA Sample SRR3737022 1	haplotype called by gretel version 0.0.8	USA	20121018	40.829 N 96.667 W	40.829,-96.667	40.829	-96.667	Lincoln
Lanzhou_Shi|20120101|China|542	SRA Sample ERR1018206 412	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|30	SRA Sample SRR4074260 24	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|920	SRA Sample SRR4074332 31	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Kjellerup|20090101|Denmark|165	SRA Sample ERR414263 1	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Montreal|20100325|Canada|38	SRA Sample SRR2566056 38	haplotype called by gretel version 0.0.8	Canada	20100325	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Roma|20130101|Italy|225	SRA Sample SRR4074260 219	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Kjellerup|20090101|Denmark|157	SRA Sample ERR525967 14	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Lanzhou_Shi|20120101|China|106	SRA Sample ERR1018213 49	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|406	SRA Sample SRR4074260 400	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|601	SRA Sample ERR1018206 471	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|694	SRA Sample ERR1018303 1	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Kjellerup|20090101|Denmark|7	SRA Sample ERR209515 2	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Roma|20130101|Italy|1289	SRA Sample SRR4074332 400	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Girona|20141125|Spain|7	SRA Sample SRR2097333 7	haplotype called by gretel version 0.0.8	Spain	20141125	42.025312 N 2.831897 E	42.025312,2.831897	42.025312	2.831897	Girona
Lanzhou_Shi|20120101|China|735	SRA Sample ERR1018193 2	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|403	SRA Sample ERR527107 392	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|346	SRA Sample SRR4074260 340	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|487	SRA Sample SRR4074260 481	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|586	SRA Sample ERR527107 575	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1096	SRA Sample SRR4074332 207	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Niederdorla|20101101|Germany|2	SRA Sample SRR2155309 2	haplotype called by gretel version 0.0.8	Germany	20101101		51.165691,10.451526	51.165691	10.451526	Niederdorla
Roma|20130101|Italy|655	SRA Sample SRR4074260 649	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|605	SRA Sample ERR527107 594	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Montreal|20101118|Canada|7	SRA Sample SRR2565925 7	haplotype called by gretel version 0.0.8	Canada	20101118	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Montreal|20100113|Canada|5	SRA Sample SRR2565988 5	haplotype called by gretel version 0.0.8	Canada	20100113	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Montreal|20100325|Canada|50	SRA Sample SRR2566056 50	haplotype called by gretel version 0.0.8	Canada	20100325	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Lanzhou_Shi|20110101|China|695	SRA Sample ERR527107 684	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|205	SRA Sample SRR4074260 199	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|210	SRA Sample SRR4074260 204	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Dallas|20140616|USA|200	SRA Sample SRR3160438 200	haplotype called by gretel version 0.0.8	USA	20140616	32.8094 N 96.8365 W	32.8094,-96.8365	32.8094	-96.8365	Dallas
Lanzhou_Shi|20110101|China|715	SRA Sample ERR527107 704	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|537	SRA Sample ERR527107 526	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|568	SRA Sample ERR1018206 438	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|478	SRA Sample ERR1018206 348	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Dallas|20140616|USA|155	SRA Sample SRR3160438 155	haplotype called by gretel version 0.0.8	USA	20140616	32.8094 N 96.8365 W	32.8094,-96.8365	32.8094	-96.8365	Dallas
Montreal|20101118|Canada|22	SRA Sample SRR2565925 22	haplotype called by gretel version 0.0.8	Canada	20101118	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Lanzhou_Shi|20120101|China|876	SRA Sample ERR1018191 14	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|548	SRA Sample ERR527107 537	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|340	SRA Sample ERR1018206 210	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1168	SRA Sample SRR4074332 279	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|319	SRA Sample SRR4074260 313	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|87	SRA Sample ERR527107 76	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20140101|China|106	SRA Sample ERR1190584 15	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|690	SRA Sample ERR1018242 4	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1099	SRA Sample SRR4074332 210	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|168	SRA Sample SRR4074260 162	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|982	SRA Sample ERR527135 102	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|744	SRA Sample SRR4074260 738	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Dallas|20140616|USA|100	SRA Sample SRR3160438 100	haplotype called by gretel version 0.0.8	USA	20140616	32.8094 N 96.8365 W	32.8094,-96.8365	32.8094	-96.8365	Dallas
Lanzhou_Shi|20110101|China|52	SRA Sample ERR527107 41	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|787	SRA Sample SRR4074260 781	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20140101|China|157	SRA Sample ERR1190861 3	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|23	SRA Sample ERR527107 12	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|221	SRA Sample ERR1018206 91	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1032	SRA Sample SRR4074332 143	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|716	SRA Sample ERR1018235 2	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Montreal|20100305|Canada|3	SRA Sample SRR2566041 3	haplotype called by gretel version 0.0.8	Canada	20100305	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Dallas|20140616|USA|42	SRA Sample SRR3160438 42	haplotype called by gretel version 0.0.8	USA	20140616	32.8094 N 96.8365 W	32.8094,-96.8365	32.8094	-96.8365	Dallas
Madrid|20090101|Spain|2	SRA Sample ERR414486 2	haplotype called by gretel version 0.0.8	Spain	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid
Lanzhou_Shi|20110101|China|793	SRA Sample ERR527107 782	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|646	SRA Sample SRR4074260 640	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|320	SRA Sample ERR1018206 190	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|716	SRA Sample SRR4074260 710	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Montreal|20100325|Canada|8	SRA Sample SRR2566056 8	haplotype called by gretel version 0.0.8	Canada	20100325	45.50 N 73.63 W	45.50,-73.63	45.50	-73.63	Montreal
Lanzhou_Shi|20120101|China|252	SRA Sample ERR1018206 122	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|126	SRA Sample SRR4074260 120	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|154	SRA Sample SRR4074260 148	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|285	SRA Sample SRR4074260 279	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|707	SRA Sample ERR527107 696	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|901	SRA Sample SRR4074332 12	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|833	SRA Sample ERR527104 6	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|867	SRA Sample ERR1018191 5	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|969	SRA Sample ERR527135 89	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|1015	SRA Sample ERR527135 135	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|755	SRA Sample ERR527107 744	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|65	SRA Sample SRR4074260 59	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|813	SRA Sample ERR527107 802	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|860	SRA Sample ERR527104 33	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1033	SRA Sample SRR4074332 144	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Baltimore|20140608|USA|24	SRA Sample SRR4435814 14	haplotype called by gretel version 0.0.8	USA	20140608	39.288462639338995 N 76.62594594061375 W	39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore
Baltimore|20140603|USA|5	SRA Sample SRR4481704 3	haplotype called by gretel version 0.0.8	USA	20140603	39.288462639338995 N 76.62594594061375 W	39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore
Roma|20130101|Italy|195	SRA Sample SRR4074260 189	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Niederdorla|20100201|Germany|31	SRA Sample SRR2155368 30	haplotype called by gretel version 0.0.8	Germany	20100201		51.165691,10.451526	51.165691	10.451526	Niederdorla
Lanzhou_Shi|20120101|China|144	SRA Sample ERR1018206 14	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Evrange|20120907|Luxembourg|1	SRA Sample SRR3313044 1	haplotype called by gretel version 0.0.8	Luxembourg	20120907	49.5 N 6.2 E	49.5,6.2	49.5	6.2	Evrange
Roma|20130101|Italy|638	SRA Sample SRR4074260 632	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Roma|20130101|Italy|471	SRA Sample SRR4074260 465	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|478	SRA Sample ERR527107 467	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|184	SRA Sample ERR1018206 54	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|307	SRA Sample SRR4074260 301	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|749	SRA Sample ERR589824 3	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|149	SRA Sample ERR527107 138	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|435	SRA Sample ERR527107 424	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|551	SRA Sample SRR4074260 545	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|490	SRA Sample ERR527107 479	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|173	SRA Sample ERR527107 162	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20140101|China|33	SRA Sample ERR1190555 2	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1153	SRA Sample SRR4074332 264	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|653	SRA Sample ERR1018206 523	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20110101|China|1084	SRA Sample ERR527039 1	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Dallas|20140616|USA|97	SRA Sample SRR3160438 97	haplotype called by gretel version 0.0.8	USA	20140616	32.8094 N 96.8365 W	32.8094,-96.8365	32.8094	-96.8365	Dallas
Lanzhou_Shi|20110101|China|343	SRA Sample ERR527107 332	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Zhongshan_Shi|20120101|China|6	SRA Sample SRR1535348 4	haplotype called by gretel version 0.0.8	China	20120101	22.55 N 113.24 E	22.55,113.24	22.55	113.24	Zhongshan Shi
Kjellerup|20090101|Denmark|14	SRA Sample ERR209507 7	haplotype called by gretel version 0.0.8	Denmark	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup
Roma|20130101|Italy|788	SRA Sample SRR4074260 782	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Evrange|20120921|Luxembourg|9	SRA Sample SRR3313062 9	haplotype called by gretel version 0.0.8	Luxembourg	20120921	49.5 N 6.2 E	49.5,6.2	49.5	6.2	Evrange
Roma|20130101|Italy|535	SRA Sample SRR4074260 529	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20110101|China|534	SRA Sample ERR527107 523	haplotype called by gretel version 0.0.8	China	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|1189	SRA Sample SRR4074332 300	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
Lanzhou_Shi|20120101|China|151	SRA Sample ERR1018206 21	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|576	SRA Sample ERR1018206 446	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20120101|China|282	SRA Sample ERR1018206 152	haplotype called by gretel version 0.0.8	China	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Lanzhou_Shi|20140101|China|35	SRA Sample ERR1190555 4	haplotype called by gretel version 0.0.8	China	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi
Roma|20130101|Italy|962	SRA Sample SRR4074332 73	haplotype called by gretel version 0.0.8	Italy	20130101		41.87194,12.56738	41.87194	12.56738	Roma
