41.3275459	19.8186982	Tirana	Albania	Tirana	Albania
56.9496487	24.1051865	Rīga	Latvia	Riga	Latvia
49.611621	6.1319346	Luxembourg	Luxembourg	Luxembourg	Luxembourg
49.5135	6.01799	Schifflange	Luxembourg	Schifflange	Luxembourg
41.9973462	21.4279956	Skopje	Macedonia (FYROM)	Skopje	Macedonia (FYROM)
3.139003	101.686855	Kuala Lumpur	Malaysia	Kuala Lumpur	Malaysia
35.8868282	14.5472391	Ix-Xgħajra	Malta	Ix-Xghajra	Malta
18.8310669	-99.2214482	Calera Chica	Mexico	Calera Chica	Mexico
18.8538889	-99.2242998	Centro	Mexico	Centro	Mexico
47.411631	28.369885	Raionul Călărași	Moldova	Raionul Calarasi	Moldova
47.3	106.15	Altanbulag	Mongolia	Altanbulag	Mongolia
47.19	110.39	Bayankhutag	Mongolia	Bayankhutag	Mongolia
47.55	106.57	Sergelen	Mongolia	Sergelen	Mongolia
47.55	106.69	Sergelen	Mongolia	Sergelen	Mongolia
47.55	106.79	Sergelen	Mongolia	Sergelen	Mongolia
47.55	106.8	Sergelen	Mongolia	Sergelen	Mongolia
47.55	106.81	Sergelen	Mongolia	Sergelen	Mongolia
27.7172453	85.3239605	Kathmandu	Nepal	Kathmandu	Nepal
52.3702157	4.8951679	Amsterdam	Netherlands	Amsterdam	Netherlands
52.180646	5.9478529	Apeldoorn	Netherlands	Apeldoorn	Netherlands
-45.9062333	170.4858516	Dunedin	New Zealand	Dunedin	New Zealand
-42.4921908	171.1071795	Greymouth	New Zealand	Greymouth	New Zealand
9.0765	7.3986	Abuja	Nigeria	Abuja	Nigeria
6.5243793	3.3792057	Lagos	Nigeria	Lagos	Nigeria
9.081999	8.675277	Wamba	Nigeria	Wamba	Nigeria
59.2181229491	10.9369376484	Fredrikstad	Norway	Fredrikstad	Norway
59.9138688	10.7522454	Oslo	Norway	Oslo	Norway
46.06	-130	Axial Seamount	Pacific Ocean	Axial Seamount	Pacific Ocean
24.8614622	67.0099388	Karachi	Pakistan	Karachi	Pakistan
31.85	35.45	Jericho	Palestine	Jericho	Palestine
32.18	34.97	Qalqilya	Palestine	Qalqilya	Palestine
31.9	35.19	Ramallah	Palestine	Ramallah	Palestine
32.08	35.18	Salfit	Palestine	Salfit	Palestine
-12.0463731	-77.042754	Cercado de Lima	Peru	Cercado de Lima	Peru
-9.189967	-75.015152	Puerto Inca Province	Peru	Puerto Inca Province	Peru
-5.68	-73.33	Requena Province	Peru	Requena Province	Peru
51.72794	19.347618	Łódź	Poland	Lodz	Poland
50.038062	19.321854	Oświęcim	Poland	Oswiecim	Poland
51.4164431	21.969309	Puławy	Poland	Pulawy	Poland
52.577948	21.429024	Rybienko Stare	Poland	Rybienko Stare	Poland
52.351351	20.959269	Warszawa	Poland	Warszawa	Poland
52.577948	19.347618	włocławski	Poland	Wloclawski	Poland
38.7348396	-9.1863262	Lisboa	Portugal	Lisboa	Portugal
51.32	46	Engelsskiy rayon	Russia	Engelsskiy rayon	Russia
59.57	30.18	Gatchinskiy rayon	Russia	Gatchinskiy rayon	Russia
55.03	82.57	Novosibirskiy rayon	Russia	Novosibirskiy rayon	Russia
54.3933	72.4255	Sherbakulskiy rayon	Russia	Sherbakulskiy rayon	Russia
14.7110245	-17.465825	Dakar	Senegal	Dakar	Senegal
14.7645042	-17.3660286	Dakar	Senegal	Dakar	Senegal
44.786568	20.4489216	Beograd	Serbia	Beograd	Serbia
1.3161811	103.7649377	Singapore	Singapore	Singapore	Singapore
1.33	103.75	Singapore	Singapore	Singapore	Singapore
1.352083	103.819836	Singapore	Singapore	Singapore	Singapore
48.1485965	17.1077478	Bratislava	Slovakia	Bratislava	Slovakia
46.0569465	14.5057515	Ljubljana	Slovenia	Ljubljana	Slovenia
-25.7478676	28.2292712	Pretoria	South Africa	Pretoria	South Africa
41.3850639	2.1734035	Barcelona	Spain	Barcelona	Spain
41.3942867	2.1701905	Barcelona	Spain	Barcelona	Spain
41.3224312	2.0828713	El Prat de Llobregat	Spain	El Prat de Llobregat	Spain
41.3037013	1.9858569	Gavà	Spain	Gava	Spain
42.025312	2.831897	Girona	Spain	Girona	Spain
40.463667	-3.74922	Madrid	Spain	Madrid	Spain
6.9270786	79.861243	Colombo	Sri Lanka	Colombo	Sri Lanka
15.5007	32.5599	Khartoum	Sudan	Khartoum	Sudan
12.862807	30.217636	North Kurdufan	Sudan	North Kurdufan	Sudan
57.70887	11.97456	Gothenburg	Sweden	Gothenburg	Sweden
59.8585638	17.6389267	Uppsala	Sweden	Uppsala	Sweden
46.9479739	7.4474468	Bern	Switzerland	Bern	Switzerland
13.4548761	-16.5790323	Banjul	The Gambia	Banjul	The Gambia
39.9333635	32.8597419	Anafartalar Mahallesi	Turkey	Anafartalar Mahallesi	Turkey
50.9047	-3.5233	Tiverton	United Kingdom	Tiverton	United Kingdom
33.7489954	-84.3879824	Atlanta	United States	Atlanta	United States
39.2884626393	-76.6259459406	Baltimore	United States	Baltimore	United States
38.98	-77.11	Bethesda	United States	Bethesda	United States
38.984652	-77.094709	Bethesda	United States	Bethesda	United States
40.67	-73.98	Brooklyn	United States	Brooklyn	United States
40.67	-73.99	Brooklyn	United States	Brooklyn	United States
32.65627	-90.20933	Canton	United States	Canton	United States
33.116202	-117.321597	Carlsbad	United States	Carlsbad	United States
41.8781136	-87.6297982	Chicago	United States	Chicago	United States
42.011882	-87.710406	Chicago	United States	Chicago	United States
31.6733	-89.5875	Collins	United States	Collins	United States
32.8094	-96.8365	Dallas	United States	Dallas	United States
38.590894	-121.666779	Davis	United States	Davis	United States
39.84	-89	Decatur	United States	Decatur	United States
31.7618778	-106.4850217	El Paso	United States	El Paso	United States
33.016467	-117.273686	Encinitas	United States	Encinitas	United States
33.105788	-117.114064	Escondido	United States	Escondido	United States
21.307735	-157.8824584	Honolulu	United States	Honolulu	United States
29.7715298314	-95.2212444414	Houston	United States	Houston	United States
37.09024	-95.712891	Independence	United States	Independence	United States
40.829	-96.667	Lincoln	United States	Lincoln	United States
31.1705	-90.3748	Magnolia	United States	Magnolia	United States
40.7128	-74.0059	New York	United States	New York	United States
35.21	-97.43	Norman	United States	Norman	United States
49	-123	Point Roberts	United States	Point Roberts	United States
45.5230622	-122.6764815	Portland	United States	Portland	United States
33.144526	-117.178849	San Marcos	United States	San Marcos	United States
47.6062095	-122.3320708	Seattle	United States	Seattle	United States
47.66142	-122.26837	Seattle	United States	Seattle	United States
43.727094	-72.425964	Sharon	United States	Sharon	United States
38.6487895	-90.3107962	St. Louis	United States	St. Louis	United States
21.4467837	-158.1928871	Waianae	United States	Waianae	United States
-12.8231947	28.2175744	Kitwe	Zambia	Kitwe	Zambia
-15.3875259	28.3228165	Lusaka	Zambia	Lusaka	Zambia
