#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source	volunteer	sampletype	sampleid	notes	lat_lon
Lanzhou_Shi|20140101|China|13	SRA Sample ERR1190955 1	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20100205|Canada|4	SRA Sample SRR2566018 4	20100205	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Division_No_18|20101001|Canada|141	SRA Sample SRR1554402 84	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Montreal|20100205|Canada|7	SRA Sample SRR2566018 7	20100205	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Lanzhou_Shi|20120101|China|588	SRA Sample ERR589821 194	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20101118|Canada|3	SRA Sample SRR2565925 3	20101118	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Lanzhou_Shi|20120101|China|36	SRA Sample ERR1018206 10	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|56	SRA Sample ERR1018206 30	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|104	SRA Sample SRR1554402 47	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Ghan|20120101|Australia|23	SRA Sample ERR505106 22	20120101	-25.274398,133.775136		-25.274398	133.775136				Australia	Ghan									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|392	SRA Sample ERR1018303 2	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20130101|China|8	SRA Sample ERR1578622 2	20130101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Edmonton|20130101|Canada|3	SRA Sample SRR2082429 2	20130101	53.520710,-113.524239		53.520710	-113.524239				Canada	Edmonton									haplotype called by gretel version 0.0.8											53.520710 N 113.524239 W
Lanzhou_Shi|20120101|China|125	SRA Sample ERR1018206 99	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|17	SRA Sample SRR4074357 2	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Oswiecim|20160303|Poland|2	Decewicz Dziewit Primer A Oswiecim 20160303	20160303	50.038062,19.321854	A	50.038062	19.321854				Poland	Oswiecim	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw																
Lanzhou_Shi|20120101|China|572	SRA Sample ERR589821 178	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|160	SRA Sample ERR1190861 4	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20100430|Canada|4	SRA Sample SRR2565543 2	20100430	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Kjellerup|20090101|Denmark|100	SRA Sample ERR321275 10	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|323	SRA Sample ERR1018206 297	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Calgary|20160201|Canada|1	22a.Canada.Calgary.01-02-2016	20160201	51.0486151,-114.0708459		51.0486151	-114.0708459				Canada	Calgary																			crAssphage_A 1-1331 (100%) aligns to NODE_3579_length_6943_cov_48.0544 3758-2428 with 97.370% identity	
Lanzhou_Shi|20120101|China|409	SRA Sample ERR589821 15	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Houston|20130101|USA|19	SRA Sample SRR4032470 3	20130101	29.77152983140313,-95.2212444414063		29.77152983140313	-95.2212444414063				USA	Houston									haplotype called by gretel version 0.0.8											29.77152983140313 N 95.22124444140628 W
Lanzhou_Shi|20120101|China|45	SRA Sample ERR1018206 19	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|134	SRA Sample ERR1190532 1	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|11	SRA Sample ERR527107 5	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Zhongshan_Shi|20110101|China|3	SRA Sample SRR1535303 2	20110101	22.55,113.24		22.55	113.24				China	Zhongshan Shi									haplotype called by gretel version 0.0.8											22.55 N 113.24 E
Independence|20120823|USA|1	SRA Sample SRR2940942 1	20120823	37.09024,-95.712891		37.09024	-95.712891				USA	Independence									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|333	SRA Sample ERR1018206 307	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|27	SRA Sample ERR527073 5	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Evrange|20120920|Luxembourg|2	SRA Sample SRR3313072 2	20120920	49.5,6.2		49.5	6.2				Luxembourg	Evrange									haplotype called by gretel version 0.0.8											49.5 N 6.2 E
Baltimore|20140609|USA|3	SRA Sample SRR4435717 3	20140609	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20120101|China|307	SRA Sample ERR1018206 281	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|221	SRA Sample ERR1018206 195	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|184	SRA Sample ERR1018206 158	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|471	SRA Sample ERR589821 77	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|214	SRA Sample ERR1018206 188	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Baltimore|20140608|USA|12	SRA Sample SRR4435814 3	20140608	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Division_No_18|20101001|Canada|158	SRA Sample SRR1554402 101	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|163	SRA Sample ERR1018206 137	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Baltimore|20140609|USA|4	SRA Sample SRR4435717 4	20140609	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Madrid|20090101|Spain|30	SRA Sample ERR209824 25	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Jyvaskyla|20040831|Finland|1	SRA Sample SRR2297849 1	20040831	61.92411,25.748151		61.92411	25.748151				Finland	Jyvaskyla									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|717	SRA Sample ERR589770 1	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Tirana|20160201|Albania|1	17.Albania.Tirana.01-02-2016	20160201	41.3275459,19.8186982		41.3275459	19.8186982				Albania	Tirana																			crAssphage_A 1-1331 (100%) aligns to NODE_41_length_48044_cov_21.6149 24837-23507 with 97.145% identity	
Lanzhou_Shi|20120101|China|149	SRA Sample ERR1018206 123	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|116	SRA Sample ERR414307 1	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|54	SRA Sample ERR1018206 28	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|145	SRA Sample ERR1190678 1	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|15	SRA Sample SRR4074296 5	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|53	SRA Sample ERR1018206 27	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|58	SRA Sample ERR1190619 7	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|656	SRA Sample ERR1018301 1	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20101118|Canada|1	SRA Sample SRR2565925 1	20101118	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Lanzhou_Shi|20140101|China|39	SRA Sample ERR1190648 6	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20100205|Canada|5	SRA Sample SRR2566018 5	20100205	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Montreal|20100416|Canada|26	SRA Sample SRR2566059 26	20100416	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Lanzhou_Shi|20120101|China|397	SRA Sample ERR589821 3	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|16	SRA Sample SRR4074357 1	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|30	SRA Sample SRR1554403 30	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|137	SRA Sample ERR1190532 4	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|113	SRA Sample SRR1554402 56	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|182	SRA Sample ERR1018206 156	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|700	SRA Sample ERR1018191 26	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Warszawa|20160126|Poland|7	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351,20.959269	A	52.351351	20.959269				Poland	Warszawa	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw																
Lisboa|20160225|Portugal|1	Santos Primer A10	20160225	38.7348396,-9.1863262	A	38.7348396	-9.1863262				Portugal	Lisboa	Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049001 Lisboa		Ricardo Santos	Instituto Superior Tecnico																
Division_No_18|20101001|Canada|93	SRA Sample SRR1554402 36	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Montreal|20100416|Canada|20	SRA Sample SRR2566059 20	20100416	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Division_No_18|20101001|Canada|124	SRA Sample SRR1554402 67	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Baltimore|20140608|USA|11	SRA Sample SRR4435814 2	20140608	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20120101|China|709	SRA Sample ERR1018191 35	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Jyvaskyla|20010514|Finland|8	SRA Sample SRR2298568 8	20010514	61.92411,25.748151		61.92411	25.748151				Finland	Jyvaskyla									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|95	SRA Sample ERR1018206 69	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|94	SRA Sample ERR1018206 68	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|325	SRA Sample ERR1018206 299	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Xilinguole_Meng|20101001|China|5	SRA Sample SRR3993056 5	20101001	43.95,116.35		43.95	116.35				China	Xilinguole Meng									haplotype called by gretel version 0.0.8											43.95 N 116.35 E
Lanzhou_Shi|20120101|China|268	SRA Sample ERR1018206 242	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Dallas|20140616|USA|41	SRA Sample SRR3160438 41	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Lanzhou_Shi|20120101|China|395	SRA Sample ERR589821 1	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|14	SRA Sample ERR525795 2	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|174	SRA Sample ERR1018206 148	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|601	SRA Sample ERR589785 1	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
San_Diego|20170719|USA|1	VolunteerE_20170719	20170719	32.777199,-117.070971	A	32.777199	-117.070971				USA	San Diego							base called by phred, consensus by merger									E	Daily	DE13		
Division_No_18|20101001|Canada|81	SRA Sample SRR1554402 24	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|688	SRA Sample ERR1018191 14	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|218	SRA Sample ERR321621 6	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|45	SRA Sample ERR209793 13	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Montreal|20110217|Canada|2	SRA Sample SRR2583974 2	20110217	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Zhuhai_Shi|20140401|Hong_Kong|10	SRA Sample SRR2043641 8	20140401	22.15,114.10		22.15	114.10				Hong Kong	Zhuhai Shi									haplotype called by gretel version 0.0.8											22.15 N 114.10 E
Lanzhou_Shi|20120101|China|369	SRA Sample ERR1018206 343	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Dallas|20140616|USA|14	SRA Sample SRR3160438 14	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Ghan|20120101|Australia|37	SRA Sample ERR505106 36	20120101	-25.274398,133.775136		-25.274398	133.775136				Australia	Ghan									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20140101|China|97	SRA Sample ERR1190619 46	20140101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|24	SRA Sample SRR1554403 24	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Division_No_18|20101001|Canada|147	SRA Sample SRR1554402 90	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|239	SRA Sample ERR1018206 213	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Rybienko_Stare|20160303|Poland|5	Decewicz Dziewit Primer A Wyszkow 20160303	20160303	52.577948,21.429024	A	52.577948	21.429024				Poland	Rybienko Stare	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw																
Ghan|20120101|Australia|4	SRA Sample ERR505106 3	20120101	-25.274398,133.775136		-25.274398	133.775136				Australia	Ghan									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|2	SRA Sample SRR4074305 2	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Stegen|20121115|Germany|1	SRA Sample SRR1616987 1	20121115	48,8		48	8				Germany	Stegen									haplotype called by gretel version 0.0.8											48 N 8 E
Dallas|20140616|USA|49	SRA Sample SRR3160438 49	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Baltimore|20140608|USA|14	SRA Sample SRR4435814 5	20140608	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Division_No_18|20101001|Canada|40	SRA Sample SRR1554403 40	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Kitwe|20160112|Zambia|1	49b.Zambia.Kitwe.12-01-2016	20160112	-12.8231947,28.2175744		-12.8231947	28.2175744				Zambia	Kitwe																			crAssphage_A 1-1331 (100%) aligns to NODE_43794_length_3540_cov_95.161 1662-332 with 97.295% identity	
Girona|20141125|Spain|15	SRA Sample SRR2097329 2	20141125	42.025312,2.831897		42.025312	2.831897				Spain	Girona									haplotype called by gretel version 0.0.8											42.025312 N 2.831897 E
Division_No_18|20101001|Canada|108	SRA Sample SRR1554402 51	20101001	56.130366,-106.346771		56.130366	-106.346771				Canada	Division No. 18									haplotype called by gretel version 0.0.8											
Dallas|20140616|USA|40	SRA Sample SRR3160438 40	20140616	32.8094,-96.8365		32.8094	-96.8365				USA	Dallas									haplotype called by gretel version 0.0.8											32.8094 N 96.8365 W
Lanzhou_Shi|20120101|China|342	SRA Sample ERR1018206 316	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Madrid|20090101|Spain|85	SRA Sample ERR209823 5	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
Roma|20130101|Italy|1	SRA Sample SRR4074305 1	20130101	41.87194,12.56738		41.87194	12.56738				Italy	Roma									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|500	SRA Sample ERR589821 106	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|613	SRA Sample ERR589824 5	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Puerto_Inca_Province|20130129|Peru|3	SRA Sample SRR2938618 1	20130129	-9.189967,-75.015152		-9.189967	-75.015152				Peru	Puerto Inca Province									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|22	SRA Sample ERR1018221 1	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|224	SRA Sample ERR1018206 198	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Zerdab|20020517|Azerbaijan|1	Cinek lab sample 364 A 20020517	20020517	40.143105,47.576927	A	40.143105	47.576927				Azerbaijan	Zerdab			Ondrej Cinek	Univerzita Karlova		m	Assembly of 4 reads: 364_A_intf.ab1 (reversed), 364_A_r.ab1, 364_A_intr.ab1, 364_A_f.ab1 (reversed)													
Lanzhou_Shi|20120101|China|433	SRA Sample ERR589821 39	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20110101|China|10	SRA Sample ERR527107 4	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|429	SRA Sample ERR589821 35	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Kjellerup|20090101|Denmark|169	SRA Sample ERR414263 16	20090101	56.26392,9.501785		56.26392	9.501785				Denmark	Kjellerup									haplotype called by gretel version 0.0.8											
San_Diego|20170710|USA|2	VolunteerE_20170710	20170710	32.777199,-117.070971	A	32.777199	-117.070971				USA	San Diego							base called by phred, consensus by merger									E	Daily	DE6		
Courtaboeuf_Cedex|20050101|France|17	SRA Sample ERR479351 2	20050101	46.227638,2.213749		46.227638	2.213749				France	Courtaboeuf Cedex									haplotype called by gretel version 0.0.8											
Lanzhou_Shi|20120101|China|146	SRA Sample ERR1018206 120	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20100302|Canada|2	SRA Sample SRR2566040 2	20100302	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Lanzhou_Shi|20120101|China|388	SRA Sample ERR1018255 3	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Baltimore|20140608|USA|20	SRA Sample SRR4435814 11	20140608	39.288462639338995,-76.6259459406137		39.288462639338995	-76.6259459406137				USA	Baltimore									haplotype called by gretel version 0.0.8											39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20110101|China|37	SRA Sample ERR527135 5	20110101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Montreal|20091117|Canada|2	SRA Sample SRR2566037 2	20091117	45.50,-73.63		45.50	-73.63				Canada	Montreal									haplotype called by gretel version 0.0.8											45.50 N 73.63 W
Lanzhou_Shi|20120101|China|31	SRA Sample ERR1018206 5	20120101	35.86166,104.195397		35.86166	104.195397				China	Lanzhou Shi									haplotype called by gretel version 0.0.8											
Wamba|20010901|Nigeria|1	Cinek lab sample 198 A 20010901	20010901	9.081999,8.675277	A	9.081999	8.675277				Nigeria	Wamba			Ondrej Cinek	Univerzita Karlova			Assembly of 4 reads: 198_A_intf.ab1 (reversed), 198_A_r.ab1, 198_A_intr.ab1, 198_A_f.ab1 (reversed)													
Zhuhai_Shi|20140401|Hong_Kong|8	SRA Sample SRR2043641 6	20140401	22.15,114.10		22.15	114.10				Hong Kong	Zhuhai Shi									haplotype called by gretel version 0.0.8											22.15 N 114.10 E
Girona|20141125|Spain|9	SRA Sample SRR2097333 9	20141125	42.025312,2.831897		42.025312	2.831897				Spain	Girona									haplotype called by gretel version 0.0.8											42.025312 N 2.831897 E
Madrid|20090101|Spain|97	SRA Sample ERR209823 17	20090101	40.463667,-3.74922		40.463667	-3.74922				Spain	Madrid									haplotype called by gretel version 0.0.8											
